Год,Пасха
1800,20 Апр
1801,5 Апр
1802,25 Апр
1803,17 Апр
1804,6 Мая
1805,21 Апр
1806,13 Апр
1807,26 Апр
1808,17 Апр
1809,9 Апр
1810,29 Апр
1811,14 Апр
1812,3 Мая
1813,25 Апр
1814,10 Апр
1815,30 Апр
1816,21 Апр
1817,6 Апр
1818,26 Апр
1819,18 Апр
1820,9Апр
1821,22Апр
1822,14Апр
1823,4 Мая
1824,18Апр
1825,10 Апр
1826,30Апр
1827,15Апр
1828,6Апр
1829,26Апр
1830,18Апр
1831,1Мая
1832,22Апр
1833,14Апр
1834,4Мая
1835,19Апр
1836,10Апр
1837,30 Апр
1838,15Апр
1839,7Апр
1840,26Апр
1841,11Апр
1842,1Мая
1843,23Апр
1844,7Апр
1845,27Апр
1846,19Апр
1847,4Апр
1848,23Апр
1849,15Апр
1850,5Мая
1851,20Апр
1852,11Апр
1853,1 Мая
1854,23Апр
1855,8Апр
1856,27Апр
1857,19Апр
1858,4Апр
1859,24Апр
1860,15Апр
1861,5 Мая
1862,20Апр
1863,12Апр
1864,1Мая
1865,16Апр
1866,8Апр
1867,28Апр
1868,12Апр
1869,2Мая
1870,24Апр
1871,9Апр
1872,28Апр
1873,20Апр
1874,12Апр
1875,25Апр
1876,16Апр
1877,8 Апр
1878,28 Апр
1879,13Апр
1880,2Мая
1881,24Апр
1882,9Апр
1883,29Апр
1884,20Апр
1885,5Апр
1886,25Апр
1887,17Апр
1888,6Мая
1889,21Апр
1890,13 Апр
1891,3Мая
1892,17Апр
1893,9Апр
1894,29Апр
1895,14Апр
1896,5Апр
1897,25Апр
1898,17Апр
1899,30Апр
1900,22Апр
1901,14Апр
1902,27Апр
1903,19Апр
1904,10Апр
1905,30Апр
1906,15Апр
1907,5Мая
1908,26Апр
1909,11Апр
1910,1Мая
1911,23Апр
1912,7Апр
1913,27Апр
1914,19Апр
1915,4Апр
1916,23Апр
1917,15Апр
1918,5Мая
1919,20Апр
1920,11Апр
1921,1 Мая
1922,16Апр
1923,8Апр
1924,27Апр
1925,19Апр
1926,2Мая
1927,24Апр
1928,15Апр
1929,5Мая
1930,20Апр
1931,12 Апр
1932,1Мая
1933,16Апр
1934,8Апр
1935,28Апр
1936,12Апр
1937,2Мая
1938,24Апр
1939,9 Апр
1940,28Апр
1941,20Апр
1942,5 Апр
1943,25Апр
1944,16Апр
1945,6Мая
1946,21 Апр
1947,13Апр
1948,2Мая
1949,24Апр
1950,9Апр
1951,29Апр
1952,20Апр
1953,5Апр
1954,25Апр
1955,17Апр
1956,6Мая
1957,21Апр
1958,13Апр
1959,3Мая
1960,17Апр
1961,9 Апр
1962,29Апр
1963,14Апр
1964,3Мая
1965,25Апр
1966,10Апр
1967,30Апр
1968,21Апр
1969,13Апр
1970,26 Апр
1971,18 Апр
1972,9Апр
1973,29Апр
1974,14 Апр
1975,4Мая
1976,25Апр
1977,10Апр
1978,30Апр
1979,22Апр
1980,6Апр
1981,26Апр
1982,18Апр
1983,8Мая
1984,22Апр
1985,14Апр
1986,4Мая
1987,19Апр
1988,10 Апр
1989,30Апр
1990,15Апр
1991,7 Апр
1992,26Апр
1993,18Апр
1994,1Мая
1995,23Апр
1996,14Апр
1997,27Апр
1998,19Апр
1999,11Апр
2000,30Апр
2001,15Апр
2002,5Мая
2003,27Апр
2004,11Апр
2005,1Мая
2006,23Апр
2007,8Апр
2008,27Апр
2009,19 Апр
2010,4Апр
2011,24Апр
2012,15Апр
2013,5Мая
2014,20Апр
2015,12Апр
2016,1Мая
2017,16Апр
2018,8Апр
2019,28Апр
2020,19Апр
2021,2Мая
2022,24Апр
2023,16 Апр
2024,5Мая
2025,20Апр
2026,12Апр
2027,2Мая
2028,16Апр
2029,8Апр
2030,28Апр
2031,13Апр
2032,2Мая
2033,24Апр
2034,9Апр
2035,29Апр
2036,20Апр
2037,5Апр
2038,25Апр
2039,17Апр
2040,6 Мая
2041,21Апр
2042,13Апр
2043,3Мая
2044,24Апр
2045,9Апр
2046,29Апр
2047,21Апр
2048,5Апр
2049,25Апр
2050,17Апр
2051,7Мая
2052,21Апр
2053,13Апр
2054,3Мая
2055,18Апр
2056,9Апр
2057,29Апр
2058,14Апр
2059,4Мая
2060,25Апр
2061,10Апр
2062,30Апр
2063,22Апр
2064,13Апр
2065,26 Апр
2066,18Апр
2067,10Апр
2068,29Апр
2069,14Апр
2070,4Мая
2071,19Апр
2072,10Апр
2073,30Апр
2074,22Апр
2075,7Апр
2076,26Апр
2077,18Апр
2078,8Мая
2079,23Апр
2080,14Апр
2081,4Мая
2082,19 Апр
2083,11 Апр
2084,30Апр
2085,15Апр
2086,7Апр
2087,27Апр
2088,18Апр
2089,1Мая
2090,23Апр
2091,8Апр
2092,27 Апр
2093,19Апр
2094,11Апр
2095,24 Апр
2096,15Апр
2097,5Мая
2098,27Апр
2099,12Апр
2100,2Мая
